"empresa"	"titulo_reclamacao"	"status_reclamacao"	"local_reclamacao"	"tempo_reclamacao"	"minutos"
"Carrefour -  Loja Online"	"Produtos de péssima qualidade, descongelados e estragados"	"Não Resolvido"	"São Paulo"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Cancelaram a compra por conta própria"	"Não Resolvido"	"São Paulo"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Cancelamento sem justificativa"	"Não Resolvido"	"São Paulo"	"Há 6 dias"	8640
"Carrefour -  Loja Online"	"Cancelamento de compra no site"	"Resolvido"	"São Paulo"	"Há 6 dias"	8640
"Carrefour -  Loja Online"	"Troca de produto"	"Não Resolvido"	"Rio de Janeiro"	"Há 6 dias"	8640
"Carrefour -  Loja Online"	"Empresa cancela unilateralmente o pedido e não faz comunicação ao cliente"	"Não Resolvido"	"São Paulo"	"Há 6 dias"	8640
"Carrefour -  Loja Online"	"Não consigo encontrar o status do pedido, o app não carrega"	"Resolvido"	"Lucas do Rio Verde"	"Há 6 dias"	8640
"Carrefour -  Loja Online"	"CANCELAMENTO NÃO EFETUADO"	"Não Resolvido"	"São Paulo"	"Há 6 dias"	8640
"Carrefour -  Loja Online"	"Troca de mercadoria"	"Resolvido"	"Cachoeirinha"	"Há 7 dias"	10080
"Carrefour -  Loja Online"	"uma semana e o pagamento n foi processado"	"Resolvido"	"Criciúma"	"Há 7 dias"	10080
"Carrefour -  Loja Online"	"Compra no site"	"Não Resolvido"	"São Paulo"	"Há 7 dias"	10080
"Carrefour -  Loja Online"	"NÃO ME DÃO RESPOSTA"	"Resolvido"	"Cotia"	"Há 7 dias"	10080
"Carrefour -  Loja Online"	"Carrefour não entrega mercadoria e ainda fica mentindo"	"Não Resolvido"	"Recife"	"Há 3 dias"	4320
"Carrefour -  Loja Online"	"CARREFOUR NAO ENTREGA"	"Não Resolvido"	"Itaboraí"	"Há 3 dias"	4320
